Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Районный краеведческий музей Красногвардейского муниципального района,142589,"297000 Республика Крым, п.Красногвардейское, ул.Тельмана, 22",7223,4067,0,77,19.5,9,1
Канский краеведческий музей,111519,"663600 Красноярский край, г.Канск, ул.Московская, 51",20809,16496,20809,58,31.2,24,2
Печорский историко-краеведческий музей,126139,"169600 Респ.Коми, г.Печора, ул.Советская, 33",67139,53212,1100,65,10.7,20,1
Краеведческий музей села Доронинское,137650,"674063 Забайкальский край, Улетовский р-н, с.Доронинское, ул.Садовая, 28б",2437,1673,0,39,2.9,2,1
Сальский музей им.нар.худож.В.Нечитайло,121737,"347630 Ростовская обл., г.Сальск, ул.Ленина, 11",2909,240,3149,54,23.6,20,4
"Музейное объединение ""Ухта""",126196,"169300 Респ.Коми, г.Ухта, ул.Мира, 5-б",57785,155048,6954,35,18.2,21,6
Сольвычегодский ист-художественный музей,112672,"165330 Архангельская обл., г.Сольвычегодск, ул.Советская, 9",7948,1960,7753,11,23.4,29,7
Музей истории города Кургана,133344,"640000 г.Курган, ул.Куйбышева, 59",0,0,0,6,17.2,9,1
"Лит.-мем.,ист.-худ. муз-ус.""Рождествено""",118039,"188356 Ленинградская обл., Гатчинский р-н, с.Рождествено",1758,4308,6066,22,24.1,24,2
Сергачский краеведч.музей им.Громова,114451,"607510 Нижегородская обл., г.Сергач, ул.Ленинская, 33",18206,15557,0,35,7.7,8,1
Саткинский гор. краеведческий музей,123893,"456915 Челябинская обл., г.Сатка, пл.1 Мая, 1б",17766,3739,21505,8,5,14,1
Баксанский историко-краеведческий музей,148320,"361534 Кабардино-Балкарская Респ., Баксанский р-н, с.Дугулыбгей, ул.Баксанова, 24",488,0,0,7,5.6,2,70
Музей-усадьба П.П.Семенова-Тян-Шанского,119351,"399920 Липецкая обл., Чаплыгинский р-н, с.Урусово",803,573,0,5,3.3,5,1
"Музей-заповедник ""Судакская крепость""",142339,"298002 Республика Крым, г.Судак, ул.Генуэзская крепость, 1",5901,3860,6408,8,325.5,49,62
Иванов.гос.ист.-краев.музей им.Бурылина,114502,"153012 г.Иваново, ул.Советская, 29",738441,41842,118915,24,40.8,101,8
Дятьковский историко-краеведческий музей,134845,"242600 Брянская обл., г.Дятьково, ул.Ленина, 159",2283,1262,0,29,6.4,5,1
Музей народно-прикладного искусства,129654,"424000 Респ.Марий Эл, г.Йошкар-Ола, ул.Чернышевского, 23",0,0,0,26,8.3,5,1
Ровеньский краеведческий музей,112901,"309740 Белгородская обл., Ровеньский р-н, п.Ровеньки, ул.Кирова, 19",3465,2414,3783,32,10.3,5,1
"Гос.ист.-архит.,худ.музей-зап.""Царицыно""",110164,"115569 г.Москва, ул.Дольская, 1",41657,16118,57775,45,891.5,608,65
Нюрбинский музей Дружбы народов,128609,"678450 Респ.Саха(Якутия), г.Нюрба, ул.Ст.Васильева, 35",8075,2674,420,24,2.1,15,1
Моск.гос. картинная галерея А.Шилова,110342,"119019 г.Москва, ул.Знаменка, 5",1100,18429,9168,22,124.2,56,4
Баганский краеведческий музей,120151,"632770 Новосибирская обл., Баганский р-н, с.Баган, ул.Ленина, 46",3874,3913,801,34,7.1,5,1
