Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Музей Салиха Сайдашева,137398,"422711 Республика Татарстан, Высокогорский р-н, д.Ибря, ул.Союзная, 24",264,270,0,2,0,1,0
Починковский ист.-краеведческий музей,128384,"216450 Смоленская обл., г.Починок, ул.Советская, 14",2772,892,2100,12,3.1,3,1
Бузулукский краеведческий музей,120607,"461040 Оренбургская обл., г.Бузулук, ул.Ленина, 56",17562,4748,6001,94,34.7,13,1
Лит.музей нар.писат.братьев Даниловых,128952,"678037 Респ.Саха(Якутия), Горный улус, с.Дикимдя (Мытах),ул.Ленина,1",5049,0,4427,26,3.9,4,1
Краеведческий музей г.Покрова,141478,"601120 Владимирская обл., г.Покров, ул.Ленина, 79",16343,148,0,15,12.9,9,1
Музей 112-й Башкир.кавалерийской дивизии,138297,"450095 г.Уфа, ул.Левитана, 27",0,0,0,4,11.7,3,1
Музей истории г.Шлиссельбурга,117680,"187320 Ленинградская обл., г.Шлиссельбург, Фабричный остров, 2а",4835,956,5791,14,6.9,6,1
Десногорский ист.-краеведческий музей,125460,"216400 Смоленская обл., г.Десногорск, III микрорайон",978,1680,0,40,19.7,8,2
Бийский краеведческий музей им.Бианки,111063,"659325 Алтайский край, г.Бийск, ул.Ленина, 134",113160,33217,7500,57,23.6,28,5
Бирский историко-краеведческий музей,124701,"452450 Респ.Башкортостан, г.Бирск, ул.Фрунзе, 25-г",10496,4658,0,32,14,7,1
Кадуйский районный музей им.А.Г.Юкова,138954,"162511 Вологодская обл., п.Кадуй, ул.Советская, 16",1753,1407,76,15,4.1,3,1
Велижский историко-краеведческий музей,122890,"216290 Смоленская обл., г.Велиж, ул.Советская, 14/3",13774,6078,530,32,5.2,3,2
Домодедовский ист.-художественный музей,132197,"142000 Московская обл., г.Домодедово, Каширское шоссе, 52-15",5965,2370,0,44,11.5,8,1
Музей Лаишевского края им.Г.Державина,139340,"422610 Респ.Татарстан, п.Лаишево, ул.Лебедевой, 32",7026,2460,5785,16,14.8,11,1
"Гос.ист-арх.и этногр музей-зап.""Кижи""",125850,"185035 г.Петрозаводск, Неглинская набережная, 23",35105,19327,45568,51,194.2,257,172
Музей-усадьба В.И.Сурикова,111650,"660017 г.Красноярск, ул.Ленина, 98",520,865,473,19,10.9,25,4
Тазовский районный краеведческий музей,135091,"629350 Ямало-Ненецкий а.о., п.Тазовский, ул.Почтовая, 31",1676,25,1701,77,5.7,18,1
"Мемориальный комплекс ""Ватан""",134402,"368354 Республика Дагестан, Гунибский р-н, с.Согратль",510,280,0,2,3.8,8,1
Музей Зои Космодемьянской,119756,"143160 Московская обл., Рузский р-н, д.Петрищево, 89",3052,575,0,6,28.7,13,2
Мемор.дом-музей С.Т.Аксакова,124595,"450057 г.Уфа, ул.Зайнуллы Расулева, 4",3856,1696,0,14,11.5,9,1
Дом-музей Т.Н.Грановского,120819,"302028 г.Орел, ул.7 Ноября, 24",1,3,0,3,9.3,10,1
Историко-краеведческий музей Третьяковского района,138812,"658450 Алтайский край, Третьяковский р-н, с.Староалейское, ул.Шоссейная, 65",1449,56,0,47,2.8,3,1
Кулундинский районный музей,141290,"658923 Алтайский край, Кулундинский р-н, с.Кулунда, ул.Комсомольская, 7",1327,1458,0,16,0.7000000000000001,2,1
Музей истории города Партизанска,111839,"692864 Приморский край, г.Партизанск, ул.50-летия ВЛКСМ, 14",10109,5266,0,27,13,11,1
Музей братьев С.П. и А.П.Ткачевых,139393,"241035 г.Брянск, ул.Куйбышева, 2",0,0,0,26,34.7,16,2
Павл-Посадский ист.-художественный музей,119440,"142502 Московская обл., г.Павловский Посад, ул.Б.Покровская, 37",17062,1357,0,4,11.1,12,1
Костромской гос.ист.-арх.и худ.музей-зап,133359,"156000 г.Кострома, пр.Мира, 7",294935,103740,147199,154,48.5,188,6
Шелаболихинский краеведческий музей,132394,"659050 Алтайский край, Шелаболихинский р-н, с.Шелаболиха, пер.Пионерский, 19",5869,1208,0,20,2.4,6,1
Здание арзамасского магистрата,138422,"607220 Нижегородская обл., г.Арзамас, пл.Соборная, 1а",0,0,0,4,12.9,4,1
Нововаршавский ист.-краеведческий музей,120679,"646830 Омская обл., п.Нововаршавка, ул.Красный путь, 49",9379,1385,2900,37,11.9,8,4
Подольский выставочный зал,119737,"142100 Московская обл., г.Подольск, пр.Ленина, 113/62",769,54,576,48,45.9,28,1
Крымско-татарский музей культурно-исторического наследия,142199,"295001 Республика Крым, г.Симферополь, ул.Чехова, 17",2869,7358,889,26,19.5,38,2
Литературный музей им.К.В.Иванова,128011,"428032 г.Чебоксары, ул.Ленинградская, 29/20",150300,55193,0,15,7.2,5,1
"Музей ""Копорская крепость""",143011,"188525 Ленинградская обл., Ломоносовский р-н, с.Копорье",0,0,0,0,34,2,1
Курский литературный музей,138742,"305006 г.Курск, ул.Садовая, 21",0,0,0,11,15.7,8,1
Нейво-Шайтанск.ист.-краеведческий музей,136361,"624610 Свердловская обл., Алапаевский р-н, п.Нейво-Шайтанский,ул.Ленина,74",1300,4638,0,28,2.1,3,1
Плесский гос. ист.-арх.и худ.музей-зап.,114729,"155555 Ивановская обл., г.Плес, Соборная гора, 1",81281,1013,18386,21,137,83,9
"Дом-музей ""История политссылки в Якутии""",128524,"677000 г.Якутск, ул.Ярославского, 5",0,0,0,32,5.5,0,1
Эвено-Бытантайский этнографический музей,129315,"678580 Респ.Саха(Якутия), Эвено-Бытантайский улус, с.Батагай-Алыта",2712,2712,0,50,3.3,4,1
Глазовский ист.-краеведч.муз.комплекс,128416,"427614 Удмуртская Респ., Глазовский р-н, д.Золотарево, ул.Школьная, 1а",3613,1370,0,27,7.1,6,2
Музей истории русского платка и шали,131368,"142500 Московская обл., г.Павловский Посад, ул.Б.Покровская, 37, ДК",1667,147,0,7,11.7,8,1
